#    MMo    logLLo  logTe     G   G_BP    G_RP
2.0708278952     1.52300  3.84835   0.8387   0.9927   0.5696
2.0710587064     1.52413  3.84880   0.8360   0.9892   0.5680
2.0712895177     1.52530  3.84928   0.8332   0.9857   0.5665
2.0715203289     1.52653  3.84979   0.8303   0.9820   0.5649
2.0717511402     1.52781  3.85034   0.8273   0.9781   0.5632
2.0719819514     1.52917  3.85093   0.8241   0.9739   0.5615
2.0722127627     1.53060  3.85157   0.8207   0.9695   0.5598
2.0724435739     1.53211  3.85226   0.8171   0.9647   0.5579
2.0726743851     1.53371  3.85300   0.8134   0.9598   0.5561
2.0729051964     1.53540  3.85381   0.8094   0.9544   0.5542
2.0731360076     1.53720  3.85468   0.8052   0.9487   0.5522
2.0733668189     1.53913  3.85563   0.8007   0.9426   0.5501
2.0735976301     1.54123  3.85668   0.7958   0.9360   0.5479
2.0738284414     1.54349  3.85783   0.7905   0.9289   0.5456
2.0740592526     1.54596  3.85911   0.7848   0.9211   0.5431
2.0742900638     1.54867  3.86052   0.7786   0.9126   0.5406
2.0745208751     1.55165  3.86210   0.7719   0.9034   0.5379
2.0747516863     1.55497  3.86386   0.7645   0.8931   0.5350
2.0749824976     1.55877  3.86588   0.7560   0.8815   0.5318
2.0752133088     1.56311  3.86819   0.7464   0.8682   0.5281
2.0754441201     1.56814  3.87086   0.7353   0.8527   0.5239
2.0756749313     1.57419  3.87403   0.7218   0.8343   0.5187
2.0759057425     1.58179  3.87788   0.7056   0.8120   0.5126
2.0761365538     1.59179  3.88275   0.6845   0.7833   0.5045
2.0763673650     1.60565  3.88913   0.6552   0.7439   0.4923
2.0765981763     1.62705  3.89804   0.6117   0.6866   0.4729
2.0768289875     1.64812  3.90742   0.5717   0.6330   0.4575
2.0768473719     1.64585  3.90723   0.5771   0.6387   0.4624
2.0768657563     1.64208  3.90668   0.5857   0.6481   0.4696
2.0768841406     1.63679  3.90574   0.5975   0.6612   0.4789
2.0769025250     1.63028  3.90444   0.6118   0.6774   0.4899
2.0769209094     1.62291  3.90283   0.6281   0.6960   0.5018
2.0769392937     1.61511  3.90097   0.6454   0.7162   0.5140
2.0769576781     1.60735  3.89891   0.6626   0.7367   0.5253
2.0769760625     1.60010  3.89670   0.6783   0.7559   0.5349
2.0769944468     1.59380  3.89442   0.6914   0.7725   0.5417
2.0770128312     1.58877  3.89214   0.7013   0.7859   0.5456
2.0770312156     1.58523  3.88992   0.7077   0.7958   0.5461
2.0770496000     1.58309  3.88780   0.7110   0.8023   0.5438
2.0770679843     1.58224  3.88579   0.7113   0.8057   0.5388
2.0770863687     1.58242  3.88390   0.7092   0.8065   0.5318
2.0771047531     1.58344  3.88213   0.7051   0.8051   0.5233
2.0771231374     1.58501  3.88047   0.6997   0.8022   0.5136
2.0771415218     1.58696  3.87890   0.6934   0.7982   0.5033
2.0771599062     1.58909  3.87740   0.6867   0.7936   0.4927
2.0771782905     1.59130  3.87598   0.6799   0.7890   0.4823
2.0771966749     1.59350  3.87460   0.6733   0.7844   0.4722
2.0772150593     1.59561  3.87328   0.6671   0.7802   0.4627
2.0772334437     1.59760  3.87201   0.6612   0.7764   0.4537
2.0772518280     1.59945  3.87077   0.6558   0.7729   0.4451
2.0772702124     1.60117  3.86956   0.6508   0.7697   0.4371
2.0772885968     1.60274  3.86838   0.6461   0.7669   0.4295
2.0773069811     1.60418  3.86724   0.6418   0.7643   0.4223
2.0773253655     1.60549  3.86612   0.6378   0.7621   0.4155
2.0773437499     1.60668  3.86503   0.6341   0.7601   0.4091
2.0773621342     1.60777  3.86396   0.6307   0.7583   0.4030
2.0773805186     1.60876  3.86291   0.6276   0.7569   0.3973
2.0773989030     1.60966  3.86188   0.6248   0.7556   0.3919
2.0774172874     1.61049  3.86088   0.6222   0.7546   0.3867
2.0774356717     1.61125  3.85989   0.6198   0.7537   0.3819
2.0774540561     1.61193  3.85893   0.6176   0.7531   0.3772
2.0774724405     1.61256  3.85798   0.6157   0.7526   0.3728
2.0774908248     1.61313  3.85705   0.6138   0.7523   0.3687
2.0775092092     1.61366  3.85613   0.6121   0.7521   0.3647
2.0775275936     1.61414  3.85524   0.6106   0.7520   0.3609
2.0775459779     1.61458  3.85435   0.6091   0.7520   0.3572
2.0775643623     1.61498  3.85349   0.6078   0.7521   0.3537
2.0775827467     1.61535  3.85263   0.6065   0.7523   0.3504
2.0776011311     1.61568  3.85179   0.6054   0.7525   0.3471
2.0776195154     1.61599  3.85097   0.6043   0.7527   0.3439
2.0776378998     1.61627  3.85015   0.6033   0.7530   0.3409
2.0776562842     1.61652  3.84935   0.6023   0.7533   0.3379
2.0776746685     1.61675  3.84856   0.6014   0.7537   0.3351
2.0776930529     1.61696  3.84778   0.6006   0.7541   0.3323
2.0777114373     1.61714  3.84702   0.5999   0.7546   0.3297
2.0777298216     1.61731  3.84626   0.5992   0.7552   0.3271
2.0777482060     1.61745  3.84551   0.5987   0.7558   0.3247
2.0777665904     1.61758  3.84477   0.5981   0.7565   0.3223
2.0777849747     1.61769  3.84405   0.5977   0.7573   0.3200
2.0778033591     1.61779  3.84333   0.5973   0.7581   0.3179
2.0778217435     1.61787  3.84262   0.5970   0.7590   0.3158
2.0778401279     1.61793  3.84192   0.5967   0.7599   0.3137
2.0778585122     1.61799  3.84123   0.5965   0.7609   0.3118
2.0778768966     1.61803  3.84054   0.5962   0.7619   0.3098
2.0778952810     1.61806  3.83986   0.5961   0.7629   0.3080
2.0779136653     1.61807  3.83919   0.5959   0.7639   0.3062
2.0779320497     1.61808  3.83853   0.5958   0.7649   0.3044
2.0780157405     1.61799  3.83560   0.5956   0.7695   0.2969
2.0780994313     1.61771  3.83278   0.5958   0.7745   0.2901
2.0781831221     1.61727  3.83008   0.5966   0.7800   0.2842
2.0782668129     1.61670  3.82747   0.5979   0.7858   0.2791
2.0783505037     1.61603  3.82497   0.5995   0.7920   0.2746
2.0784341945     1.61527  3.82256   0.6016   0.7983   0.2706
2.0785178853     1.61443  3.82021   0.6038   0.8047   0.2670
